Data;ICE Com Ajuste Sazonal - Índice de Confiança Empresarial (CNAE 2.0)(1428467);ICS Com Ajuste Sazonal - Índice de Confiança de Serviços (CNAE 2.0)(1416217);ICOM Com ajuste Sazonal-Índice de Confiança do Varejo Ampliado (CNAE 2.0)(1416226);ICST Com ajuste Sazonal - Índice de Confiança da Construção (CNAE 2.0)(1416232);Índice de Confiança do Consumidor com Ajuste Sazonal(1006982);ICI Com Ajuste Sazonal - Índice de Confiança da Indústria (CNAE 2.0)(1416212)
07/2010;111,400;107,900;111,700;115,900;104,000;112,400
08/2010;112,000;110,100;109,900;114,600;105,700;112,500
09/2010;112,000;110,400;108,700;113,200;106,500;113,600
10/2010;112,800;111,100;112,000;112,500;106,000;113,800
11/2010;112,800;111,400;110,400;111,700;109,300;112,800
12/2010;112,000;111,600;106,200;112,100;107,100;112,700
01/2011;110,400;110,200;105,600;111,600;108,400;110,700
02/2011;110,700;110,400;110,100;111,500;108,500;112,200
03/2011;108,800;109,200;105,500;109,900;106,200;112,600
04/2011;109,300;111,000;109,100;110,800;103,300;111,500
